,building_name,osm_id,building_type,latitude,longitude
B361,Medical Records,160607707,building,53.27685990871133,-8.990753178425866
B362,Medtronic Building 3,78702833,building,53.30004860395238,-8.990520827024302
B363,Medtronic Building 4,79232361,building,53.301538208186244,-8.997361653577851
B364,Menlo Castle,290247883,building,53.29654875464344,-9.07345812597794
B365,Merchants Dock,870981849,building,53.27051570817572,-9.052293983240162
B366,Merchants Gate,866107776,building,53.272121751010275,-9.050599921664011
B367,Merchants Quay,870981843,building,53.27077556163615,-9.052508492890267
B368,Merchants Square,870981848,building,53.270357000866824,-9.052445428501501
B369,Merlin Park Castle,52323799,building,53.27982504999999,-8.998077250000001
B370,Merlin Park Imaging Centre,160607705,building,53.277986200379914,-8.990889306733026
B371,Merlin Stores,824422420,building,53.276165982237444,-9.003915522286412
B372,Mervue Community Centre,160977312,building,53.282551201914295,-9.01647578178258
B373,Mervue United Clubhouse,161287443,building,53.281752952378014,-9.019097382421421
B374,Middle Street Mews,870985430,building,53.2716098583731,-9.053276331812738
B375,Mill House,211935450,building,53.272004730416924,-9.058643803467458
B376,Millennium Stand,26437058,building,53.298076517423546,-8.996787918952808
B377,Millers Hall,82857837,building,53.271194585718845,-9.10016941848063
B378,Monterey Court,794912021,building,53.26099126307082,-9.074005341803355
B379,Montrose House,211855335,building,53.26490465058795,-9.063713518977897
B380,Mortuary,161236673,building,53.27732752582012,-9.003416794507402
B381,Mulvoy Place,176158393,building,53.282272152315244,-9.04187958276275
B382,Musgrave MarketPlace,820159865,building,53.290250914521735,-9.022944527713621
B383,Musgraves,78516436,building,53.29059799559787,-9.022007963529173
B384,NUI Galway Sports Pavillon,25767229,building,53.29322966837006,-9.077710884880034
B385,NUIG Education,211934104,building,53.273144888369316,-9.058323173224245
B386,NUIG Engineering Building (disused),163926179,building,53.27339746062189,-9.05755666671211
B387,Nelipack,160685945,building,53.28703068689971,-9.026087809238613
B388,New Life Centre,161566744,building,53.28892290511254,-9.008321314144162
B389,Newell Homes,957873904,building,53.28006609998268,-9.067888996367254
B390,Niland House,870981846,building,53.27065507329321,-9.051894087891943
B391,Nun's Island Theatre,211939485,building,53.27225165929448,-9.057699899987286
B392,Nurses Home,134399050,building,53.27732981122697,-9.064809742706272
B393,Nursing Library,183158023,building,53.27896270341294,-9.060507542159673
B394,Ocean Towers,163128884,building,53.25766748198783,-9.091379763342843
B395,Odeon House,146881334,building,53.274748331285636,-9.048331595507262
B396,Oilean Spraoi Montessori,266387118,building,53.291706579370135,-9.043851575086702
B397,Old Fever Hospital,165025350,building,53.27679132065738,-9.067429856895451
B398,Old Fort,796492764,building,53.2687350086832,-9.032658705333796
B399,Old Municipal Waterworks,800839425,building,53.28350294082658,-9.057572634497683
B400,Old Savoy Cinema,162456556,building,53.27458840045231,-9.051787751357146
B401,Old Stand,161294688,building,53.28495134498077,-9.056097781302107
B402,One Galway Central,177278206,building,53.27560234132357,-9.045757647584908
