LA,RoadNumber,RoadClass
Cork City Council,L-50571,Local Tertiary
Cork City Council,L-50574,Local Tertiary
Cork City Council,L-50575,Local Tertiary
Cork City Council,L-50577,Local Tertiary
Cork City Council,L-50578,Local Tertiary
Cork City Council,L-5058,Local Secondary
Cork City Council,L-50581,Local Tertiary
Cork City Council,L-50582,Local Tertiary
Cork City Council,L-50583,Local Tertiary
Cork City Council,L-50584,Local Tertiary
Cork City Council,L-50585,Local Tertiary
Cork City Council,L-50586,Local Tertiary
Cork City Council,L-50587,Local Tertiary
Cork City Council,L-50588,Local Tertiary
Cork City Council,L-50589,Local Tertiary
Cork City Council,L-5059,Local Secondary
Cork City Council,L-50591,Local Tertiary
Cork City Council,L-50592,Local Tertiary
Cork City Council,L-50593,Local Tertiary
Cork City Council,L-50595,Local Tertiary
Cork City Council,L-50596,Local Tertiary
Cork City Council,L-50597,Local Tertiary
Cork City Council,L-50598,Local Tertiary
Cork City Council,L-5060,Local Secondary
Cork City Council,L-5061,Local Secondary
Cork City Council,L-50611,Local Tertiary
Cork City Council,L-50612,Local Tertiary
Cork City Council,L-50613,Local Tertiary
Cork City Council,L-50614,Local Tertiary
Cork City Council,L-5062,Local Secondary
Cork City Council,L-50622,Local Tertiary
Cork City Council,L-50623,Local Tertiary
Cork City Council,L-50624,Local Tertiary
Cork City Council,L-50627,Local Tertiary
Cork City Council,L-50629,Local Tertiary
Cork City Council,L-5063,Local Secondary
Cork City Council,L-50632,Local Tertiary
Cork City Council,L-50634,Local Tertiary
Cork City Council,L-50636,Local Tertiary
Cork City Council,L-50637,Local Tertiary
Cork City Council,L-50639,Local Tertiary
Cork City Council,L-5064,Local Secondary
Cork City Council,L-50641,Local Tertiary
Cork City Council,L-50642,Local Tertiary
Cork City Council,L-50643,Local Tertiary
Cork City Council,L-50644,Local Tertiary
Cork City Council,L-50647,Local Tertiary
Cork City Council,L-50648,Local Tertiary
Cork City Council,L-5065,Local Secondary
Cork City Council,L-50651,Local Tertiary
Cork City Council,L-5066,Local Secondary
Cork City Council,L-50662,Local Tertiary
Cork City Council,L-50664,Local Tertiary
Cork City Council,L-50665,Local Tertiary
Cork City Council,L-50666,Local Tertiary
Cork City Council,L-5067,Local Secondary
Cork City Council,L-50671,Local Tertiary
Cork City Council,L-50673,Local Tertiary
Cork City Council,L-5068,Local Secondary
Cork City Council,L-50681,Local Tertiary
Cork City Council,L-50683,Local Tertiary
Cork City Council,L-50684,Local Tertiary
Cork City Council,L-50685,Local Tertiary
Cork City Council,L-50686,Local Tertiary
Cork City Council,L-5069,Local Secondary
Cork City Council,L-50691,Local Tertiary
Cork City Council,L-50692,Local Tertiary
Cork City Council,L-50693,Local Tertiary
Cork City Council,L-50694,Local Tertiary
