LA,RoadNumber,RoadClass
Clare County Council,L-50221,Local Tertiary
Clare County Council,L-50222,Local Tertiary
Clare County Council,L-5024,Local Secondary
Clare County Council,L-5025,Local Secondary
Clare County Council,L-5026,Local Secondary
Clare County Council,L-5028,Local Secondary
Clare County Council,L-50281,Local Tertiary
Clare County Council,L-50282,Local Tertiary
Clare County Council,L-5031,Local Secondary
Clare County Council,L-5032,Local Secondary
Clare County Council,L-5033,Local Secondary
Clare County Council,L-50331,Local Tertiary
Clare County Council,L-5034,Local Secondary
Clare County Council,L-5035,Local Secondary
Clare County Council,L-50351,Local Tertiary
Clare County Council,L-50352,Local Tertiary
Clare County Council,L-50353,Local Tertiary
Clare County Council,L-5036,Local Secondary
Clare County Council,L-50361,Local Tertiary
Clare County Council,L-50362,Local Tertiary
Clare County Council,L-50363,Local Tertiary
Clare County Council,L-50364,Local Tertiary
Clare County Council,L-5037,Local Secondary
Clare County Council,L-5038,Local Secondary
Clare County Council,L-5039,Local Secondary
Clare County Council,L-5040,Local Secondary
Clare County Council,L-5041,Local Secondary
Clare County Council,L-50411,Local Tertiary
Clare County Council,L-5042,Local Secondary
Clare County Council,L-5044,Local Secondary
Clare County Council,L-5046,Local Secondary
Clare County Council,L-5047,Local Secondary
Clare County Council,L-50471,Local Tertiary
Clare County Council,L-50472,Local Tertiary
Clare County Council,L-50473,Local Tertiary
Clare County Council,L-50474,Local Tertiary
Clare County Council,L-5048,Local Secondary
Clare County Council,L-50481,Local Tertiary
Clare County Council,L-50482,Local Tertiary
Clare County Council,L-50483,Local Tertiary
Clare County Council,L-50484,Local Tertiary
Clare County Council,L-5049,Local Secondary
Clare County Council,L-5050,Local Secondary
Clare County Council,L-5052,Local Secondary
Clare County Council,L-5056,Local Secondary
Clare County Council,L-50561,Local Tertiary
Clare County Council,L-5058,Local Secondary
Clare County Council,L-50581,Local Tertiary
Clare County Council,L-50582,Local Tertiary
Clare County Council,L-50583,Local Tertiary
Clare County Council,L-5062,Local Secondary
Clare County Council,L-50621,Local Tertiary
Clare County Council,L-5064,Local Secondary
Clare County Council,L-5066,Local Secondary
Clare County Council,L-5067,Local Secondary
Clare County Council,L-5068,Local Secondary
Clare County Council,L-5070,Local Secondary
Clare County Council,L-50701,Local Tertiary
Clare County Council,L-50702,Local Tertiary
Clare County Council,L-5074,Local Secondary
Clare County Council,L-5076,Local Secondary
Clare County Council,L-50761,Local Tertiary
Clare County Council,L-5080,Local Secondary
Clare County Council,L-5082,Local Secondary
Clare County Council,L-5084,Local Secondary
Clare County Council,L-50841,Local Tertiary
Clare County Council,L-50842,Local Tertiary
Clare County Council,L-5088,Local Secondary
Clare County Council,L-50881,Local Tertiary
Clare County Council,L-50882,Local Tertiary
Clare County Council,L-5090,Local Secondary
Clare County Council,L-5092,Local Secondary
Clare County Council,L-5094,Local Secondary
Clare County Council,L-50941,Local Tertiary
Clare County Council,L-50942,Local Tertiary
Clare County Council,L-5096,Local Secondary
Clare County Council,L-50961,Local Tertiary
Clare County Council,L-50962,Local Tertiary
Clare County Council,L-50963,Local Tertiary
Clare County Council,L-5098,Local Secondary
Clare County Council,L-5101,Local Secondary
Clare County Council,L-5102,Local Secondary
Clare County Council,L-5103,Local Secondary
Clare County Council,L-5104,Local Secondary
Clare County Council,L-5106,Local Secondary
Clare County Council,L-5108,Local Secondary
Clare County Council,L-51081,Local Tertiary
Clare County Council,L-5110,Local Secondary
Clare County Council,L-51101,Local Tertiary
Clare County Council,L-51102,Local Tertiary
Clare County Council,L-5112,Local Secondary
Clare County Council,L-51121,Local Tertiary
Clare County Council,L-5114,Local Secondary
Clare County Council,L-5116,Local Secondary
Clare County Council,L-5117,Local Secondary
Clare County Council,L-51171,Local Tertiary
Clare County Council,L-51172,Local Tertiary
Clare County Council,L-5118,Local Secondary
Clare County Council,L-5120,Local Secondary
Clare County Council,L-51201,Local Tertiary
Clare County Council,L-5122,Local Secondary
Clare County Council,L-5124,Local Secondary
Clare County Council,L-5126,Local Secondary
Clare County Council,L-5130,Local Secondary
Clare County Council,L-5131,Local Secondary
Clare County Council,L-5132,Local Secondary
Clare County Council,L-51321,Local Tertiary
Clare County Council,L-5133,Local Secondary
Clare County Council,L-5134,Local Secondary
Clare County Council,L-51341,Local Tertiary
Clare County Council,L-5135,Local Secondary
Clare County Council,L-5136,Local Secondary
Clare County Council,L-5137,Local Secondary
Clare County Council,L-5138,Local Secondary
Clare County Council,L-5139,Local Secondary
Clare County Council,L-5140,Local Secondary
Clare County Council,L-5142,Local Secondary
Clare County Council,L-51421,Local Tertiary
Clare County Council,L-51422,Local Tertiary
Clare County Council,L-5146,Local Secondary
Clare County Council,L-51481,Local Tertiary
Clare County Council,L-51482,Local Tertiary
Clare County Council,L-51501,Local Tertiary
Clare County Council,L-5152,Local Secondary
Clare County Council,L-51521,Local Tertiary
Clare County Council,L-51522,Local Tertiary
Clare County Council,L-51523,Local Tertiary
Clare County Council,L-5154,Local Secondary
Clare County Council,L-51542,Local Tertiary
Clare County Council,L-5155,Local Secondary
Clare County Council,L-5156,Local Secondary
Clare County Council,L-5158,Local Secondary
Clare County Council,L-5159,Local Secondary
Clare County Council,L-5160,Local Secondary
Clare County Council,L-5162,Local Secondary
Clare County Council,L-5164,Local Secondary
Clare County Council,L-5166,Local Secondary
Clare County Council,L-51661,Local Tertiary
Clare County Council,L-5168,Local Secondary
Clare County Council,L-5169,Local Secondary
Clare County Council,L-51691,Local Tertiary
Clare County Council,L-51692,Local Tertiary
Clare County Council,L-5170,Local Secondary
Clare County Council,L-5171,Local Secondary
Clare County Council,L-51710,Local Tertiary
Clare County Council,L-5172,Local Secondary
Clare County Council,L-5173,Local Secondary
Clare County Council,L-5174,Local Secondary
Clare County Council,L-5175,Local Secondary
Clare County Council,L-5176,Local Secondary
Clare County Council,L-51761,Local Tertiary
Clare County Council,L-5177,Local Secondary
Clare County Council,L-5178,Local Secondary
Clare County Council,L-5180,Local Secondary
Clare County Council,L-51801,Local Tertiary
Clare County Council,L-5184,Local Secondary
Clare County Council,L-5186,Local Secondary
Clare County Council,L-5188,Local Secondary
Clare County Council,L-5190,Local Secondary
Clare County Council,L-51901,Local Tertiary
Clare County Council,L-5192,Local Secondary
Clare County Council,L-51921,Local Tertiary
Clare County Council,L-5194,Local Secondary
Clare County Council,L-51941,Local Tertiary
Clare County Council,L-5195,Local Secondary
Clare County Council,L-5196,Local Secondary
Clare County Council,L-51961,Local Tertiary
Clare County Council,L-5198,Local Secondary
Clare County Council,L-5204,Local Secondary
Clare County Council,L-5206,Local Secondary
Clare County Council,L-5208,Local Secondary
Clare County Council,L-5210,Local Secondary
Clare County Council,L-5212,Local Secondary
Clare County Council,L-52121,Local Tertiary
Clare County Council,L-52122,Local Tertiary
Clare County Council,L-5214,Local Secondary
Clare County Council,L-52141,Local Tertiary
Clare County Council,L-52142,Local Tertiary
Clare County Council,L-52143,Local Tertiary
Clare County Council,L-52144,Local Tertiary
Clare County Council,L-52145,Local Tertiary
Clare County Council,L-5216,Local Secondary
Clare County Council,L-52161,Local Tertiary
Clare County Council,L-5220,Local Secondary
Clare County Council,L-52201,Local Tertiary
Clare County Council,L-52202,Local Tertiary
Clare County Council,L-5222,Local Secondary
Clare County Council,L-52221,Local Tertiary
Clare County Council,L-5224,Local Secondary
Clare County Council,L-52241,Local Tertiary
Clare County Council,L-5226,Local Secondary
Clare County Council,L-5228,Local Secondary
Clare County Council,L-52281,Local Tertiary
Clare County Council,L-5230,Local Secondary
Clare County Council,L-52301,Local Tertiary
Clare County Council,L-52302,Local Tertiary
Clare County Council,L-5232,Local Secondary
Clare County Council,L-52321,Local Tertiary
Clare County Council,L-5234,Local Secondary
Clare County Council,L-5236,Local Secondary
Clare County Council,L-52361,Local Tertiary
Clare County Council,L-5238,Local Secondary
Clare County Council,L-52381,Local Tertiary
Clare County Council,L-52382,Local Tertiary
Clare County Council,L-5240,Local Secondary
Clare County Council,L-52401,Local Tertiary
Clare County Council,L-5242,Local Secondary
Clare County Council,L-5243,Local Secondary
Clare County Council,L-5244,Local Secondary
Clare County Council,L-52441,Local Tertiary
Clare County Council,L-5245,Local Secondary
Clare County Council,L-5246,Local Secondary
Clare County Council,L-5247,Local Secondary
Clare County Council,L-5248,Local Secondary
Clare County Council,L-5250,Local Secondary
Clare County Council,L-52501,Local Tertiary
Clare County Council,L-52503,Local Tertiary
Clare County Council,L-5252,Local Secondary
Clare County Council,L-5254,Local Secondary
Clare County Council,L-52541,Local Tertiary
Clare County Council,L-5256,Local Secondary
Clare County Council,L-5258,Local Secondary
Clare County Council,L-52584,Local Tertiary
Clare County Council,L-52585,Local Tertiary
Clare County Council,L-5260,Local Secondary
Clare County Council,L-5262,Local Secondary
Clare County Council,L-5264,Local Secondary
Clare County Council,L-52641,Local Tertiary
Clare County Council,L-52642,Local Tertiary
Clare County Council,L-5266,Local Secondary
Clare County Council,L-52661,Local Tertiary
Clare County Council,L-5268,Local Secondary
Clare County Council,L-5270,Local Secondary
Clare County Council,L-5272,Local Secondary
Clare County Council,L-52721,Local Tertiary
Clare County Council,L-5274,Local Secondary
Clare County Council,L-5276,Local Secondary
Clare County Council,L-52761,Local Tertiary
Clare County Council,L-52762,Local Tertiary
Clare County Council,L-52763,Local Tertiary
Clare County Council,L-5278,Local Secondary
Clare County Council,L-5280,Local Secondary
Clare County Council,L-5282,Local Secondary
Clare County Council,L-52821,Local Tertiary
Clare County Council,L-5284,Local Secondary
Clare County Council,L-5286,Local Secondary
Clare County Council,L-5288,Local Secondary
Clare County Council,L-5290,Local Secondary
Clare County Council,L-5291,Local Secondary
Clare County Council,L-5292,Local Secondary
Clare County Council,L-52921,Local Tertiary
Clare County Council,L-5293,Local Secondary
Clare County Council,L-5294,Local Secondary
Clare County Council,L-5296,Local Secondary
Clare County Council,L-52961,Local Tertiary
Clare County Council,L-52962,Local Tertiary
Clare County Council,L-5298,Local Secondary
Clare County Council,L-52981,Local Tertiary
Clare County Council,L-52982,Local Tertiary
Clare County Council,L-5302,Local Secondary
Clare County Council,L-5303,Local Secondary
Clare County Council,L-5304,Local Secondary
Clare County Council,L-5305,Local Secondary
Clare County Council,L-6004,Local Secondary
Clare County Council,L-6006,Local Secondary
Clare County Council,L-6007,Local Secondary
Clare County Council,L-6008,Local Secondary
Clare County Council,L-60081,Local Tertiary
Clare County Council,L-6010,Local Secondary
Clare County Council,L-60101,Local Tertiary
Clare County Council,L-6011,Local Secondary
Clare County Council,L-60111,Local Tertiary
Clare County Council,L-60112,Local Tertiary
Clare County Council,L-6012,Local Secondary
Clare County Council,L-60121,Local Tertiary
Clare County Council,L-6014,Local Secondary
Clare County Council,L-6016,Local Secondary
Clare County Council,L-6017,Local Secondary
Clare County Council,L-6018,Local Secondary
Clare County Council,L-6019,Local Secondary
